date,end,name,start
"January 6, 2020, Monday",04:02,"Pausha, Shukla Ekadashi",03:06
"January 20, 2020, Monday",02:05,"Magha, Krishna Ekadashi",02:51
"February 5, 2020, Wednesday",09:30,"Magha, Shukla Ekadashi",09:49
"February 19, 2020, Wednesday",03:02,"Phalguna, Krishna Ekadashi",02:32
"March 6, 2020, Friday",11:47,"Phalguna, Shukla Ekadashi",01:18
"March 19, 2020, Thursday",05:59,"Chaitra, Krishna Ekadashi",04:26
"March 20, 2020, Friday",05:59,"Chaitra, Krishna Ekadashi",04:26
"April 4, 2020, Saturday",10:30,"Chaitra, Shukla Ekadashi",12:58
"April 18, 2020, Saturday",10:17,"Vaishakha, Krishna Ekadashi",08:03
"May 3, 2020, Sunday",06:12,"Vaishakha, Shukla Ekadashi",09:09
"May 4, 2020, Monday",06:12,"Vaishakha, Shukla Ekadashi",09:09
"May 18, 2020, Monday",03:08,"Jyeshtha, Krishna Ekadashi",12:42
"June 2, 2020, Tuesday",12:04,"Jyeshtha, Shukla Ekadashi",02:57
"June 17, 2020, Wednesday",07:50,"Ashadha, Krishna Ekadashi",05:40
"July 1, 2020, Wednesday",05:29,"Ashadha, Shukla Ekadashi",07:49
"July 16, 2020, Thursday",11:44,"Shravana, Krishna Ekadashi",10:19
"July 30, 2020, Thursday",11:49,"Shravana, Shukla Ekadashi",01:16
"August 15, 2020, Saturday",02:20,"Bhadrapada, Krishna Ekadashi",02:01
"August 29, 2020, Saturday",08:17,"Bhadrapada, Shukla Ekadashi",08:38
"September 13, 2020, Sunday",03:16,"Ashwina, Krishna Ekadashi",04:13
"September 27, 2020, Sunday",07:46,"Ashwina, Shukla Ekadashi",06:59
"October 13, 2020, Tuesday",02:35,"Ashwina, Krishna Ekadashi",04:38
"October 27, 2020, Tuesday",10:46,"Ashwina, Shukla Ekadashi",09:00
"November 11, 2020, Wednesday",12:40,"Kartika, Krishna Ekadashi",03:22
"November 25, 2020, Wednesday",05:10,"Kartika, Shukla Ekadashi",02:42
"November 26, 2020, Thursday",05:10,"Kartika, Shukla Ekadashi",02:42
"December 10, 2020, Thursday",10:04,"Margashirsha, Krishna Ekadashi",12:51
"December 11, 2020, Friday",10:04,"Margashirsha, Krishna Ekadashi",12:51
"December 25, 2020, Friday",01:54,"Margashirsha, Shukla Ekadashi",11:17
