date,name
"January 6, 2020, Monday",Putrada Ekadasi
"January 7, 2020, Tuesday",Sri Jagadisa Pandita - Appearance
"January 10, 2020, Friday",Sri Krsna Pusya Abhiseka
"January 15, 2020, Wednesday",Sri Ramacandra Kaviraja - Disappearance
"January 15, 2020, Wednesday",Srila Gopala Bhatta Goswami - Appearance
"January 15, 2020, Wednesday",Ganga Sagara Mela
"January 16, 2020, Thursday",Sri Jayadeva Goswami - Disappearance
"January 17, 2020, Friday",Sri Locana Dasa Thakura - Disappearance
"January 20, 2020, Monday",Sat tila Ekadasi
"January 30, 2020, Thursday",Sri Pundarika Vidyanidhi - Appearance
"January 30, 2020, Thursday",Sri Raghunandana Thakura - Appearance
"January 30, 2020, Thursday",Srila Raghunatha Dasa Goswami - Appearance
"January 30, 2020, Thursday",Srila Visvanatha Cakravarti Thakura - Disappearance
"January 30, 2020, Thursday",Srimati Visnupriya Devi - Appearance
"January 30, 2020, Thursday",Sarasvati Puja
"January 30, 2020, Thursday",Vasanta Pancami
"February 1, 2020, Saturday",Sri Advaita Acarya - Appearance of Sri Advaita Acarya
"February 2, 2020, Sunday",Bhismastami
"February 3, 2020, Monday",Sri Madhvacarya - Disappearance
"February 4, 2020, Tuesday",Sri Ramanujacarya - Disappearance
"February 5, 2020, Wednesday",Bhaimi Ekadasi
"February 6, 2020, Thursday",Varaha Dvadasi - Appearance of Lord Varahadeva
"February 7, 2020, Friday",Nityananda Trayodasi - Appearance of Sri Nityananda Prabhu
"February 9, 2020, Sunday",Sri Krsna Madhura Utsava
"February 9, 2020, Sunday",Srila Narottama Dasa Thakura - Appearance
"February 13, 2020, Thursday",Sri Purusottama Das Thakura - Disappearance
"February 13, 2020, Thursday",Srila Bhaktisiddhanta Sarasvati Thakura - Appearance
"February 19, 2020, Wednesday",Vijaya Ekadasi
"February 20, 2020, Thursday",Sri Isvara Puri - Disappearance
"February 22, 2020, Saturday",Siva Ratri
"February 24, 2020, Monday",Sri Rasikananda - Disappearance
"February 24, 2020, Monday",Srila Jagannatha Dasa Babaji - Disappearance
"February 27, 2020, Thursday",Sri Purusottama Das Thakura - Appearance
"March 6, 2020, Friday",Amalaki Ekadasi
"March 7, 2020, Saturday",Sri Madhavendra Puri - Disappearance
"March 9, 2020, Monday",Gaura Purnima - Appearance of Sri Caitanya Mahaprabhu
"March 10, 2020, Tuesday",Festival of Jagannatha Misra
"March 16, 2020, Monday",Sri Srivasa Pandita - Appearance
"March 20, 2020, Friday",Papamocani Ekadasi
"March 20, 2020, Friday",Vyanjuli Mahadvadasi
"March 20, 2020, Friday",Sri Govinda Ghosh - Disappearance
"March 29, 2020, Sunday",Sri Ramanujacarya - Appearance
"April 2, 2020, Thursday",Rama Navami - Appearance of Lord Sri Ramacandra
"April 4, 2020, Saturday",Kamada Ekadasi
"April 5, 2020, Sunday",Damanakaropana Dvadasi
"April 8, 2020, Wednesday",Sri Balarama Rasayatra
"April 8, 2020, Wednesday",Sri Krsna Vasanta Rasa
"April 8, 2020, Wednesday",Sri Syamananda Prabhu - Appearance
"April 8, 2020, Wednesday",Sri Vamsivadana Thakura - Appearance
"April 14, 2020, Tuesday",Sri Abhirama Thakura - Disappearance
"April 14, 2020, Tuesday",Beginning of Tulasi Jala Dan
"April 17, 2020, Friday",Srila Vrndavana Dasa Thakura - Disappearance
"April 19, 2020, Sunday",Varuthini Ekadasi
"April 19, 2020, Sunday",Paksa Vardhini Mahadvadasi
"April 22, 2020, Wednesday",Sri Gadadhara Pandita - Appearance
"April 26, 2020, Sunday","Aksaya Trtiya, Candana Yatra Starts (Continues for 21 days)"
"April 30, 2020, Thursday",Jahnu Saptami
"May 2, 2020, Saturday",Sri Madhu Pandita - Disappearance
"May 2, 2020, Saturday",Srimati Jahnava Devi - Appearance
"May 2, 2020, Saturday",Srimati Sita Devi (consort of Lord Sri Rama) - Appearance
"May 4, 2020, Monday",Mohini Ekadasi
"May 4, 2020, Monday",Trisprsa Mahadvadasi
"May 5, 2020, Tuesday",Rukmini Dvadasi
"May 5, 2020, Tuesday",Sri Jayananda Prabhu - Disappearance
"May 6, 2020, Wednesday",Nrsimha Caturdasi - Appearance of Lord Nrsimhadeva
"May 7, 2020, Thursday","Krsna Phula Dola, Salila Vihara"
"May 7, 2020, Thursday",Sri Madhavendra Puri - Appearance
"May 7, 2020, Thursday",Sri Paramesvari Dasa Thakura - Disappearance
"May 7, 2020, Thursday",Sri Sri Radha Ramana Devaji - Appearance
"May 7, 2020, Thursday",Sri Srinivasa Acarya - Appearance
"May 12, 2020, Tuesday",Sri Ramananda Raya - Disappearance
"May 14, 2020, Thursday",End of Tulasi Jala Dan
"May 18, 2020, Monday",Apara Ekadasi
"May 19, 2020, Tuesday",Srila Vrndavana Dasa Thakura - Appearance
"June 1, 2020, Monday",Ganga Puja
"June 1, 2020, Monday",Sri Baladeva Vidyabhusana - Disappearance
"June 1, 2020, Monday",Srimati Gangamata Goswamini - Appearance
"June 2, 2020, Tuesday",Pandava Nirjala Ekadasi
"June 4, 2020, Thursday",Panihati Cida Dahi Utsava
"June 5, 2020, Friday",Snana Yatra
"June 5, 2020, Friday",Sri Mukunda Datta - Disappearance
"June 5, 2020, Friday",Sri Sridhara Pandita - Disappearance
"June 6, 2020, Saturday",Sri Syamananda Prabhu - Disappearance
"June 10, 2020, Wednesday",Sri Vakresvara Pandita - Appearance
"June 15, 2020, Monday",Sri Srivasa Pandita - Disappearance
"June 17, 2020, Wednesday",Yogini Ekadasi
"June 21, 2020, Sunday",Sri Gadadhara Pandita - Disappearance
"June 21, 2020, Sunday",Srila Bhaktivinoda Thakura - Disappearance
